name,state,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,Shape_Length,Shape_Area,Incidents_9600,Incidents_0105,Incidents_0610,Incidents_1115,Incidents_1620
Ukhrul,Manipur,77524,90636,104453,119989,135927,151436,308646.4289,2645026394,0,0,3,3,1
Unakoti,Tripura,248602,273704,297637,320755,340849,356179,205814.1928,825911908.3,1,1,0,0,0
Upper Siang,Arunachal Pradesh,29822,31224,32397,33378,33957,33455,591747.9473,8820153371,0,0,0,0,0
Upper Subansiri,Arunachal Pradesh,35378,44137,54362,66897,81098,96248,571082.143,8384528953,0,0,0,0,0
West District,Sikkim,101409,108645,115754,121304,125541,127853,216343.1737,1529498085,0,0,0,0,0
West Garo Hills,Meghalaya,352065,395842,437286,502230,564929,607882,399696.8547,3428291458,0,0,3,13,1
West Jaintia Hills,Meghalaya,155841,183716,214822,246564,280688,310085,332350.7938,2214214600,0,1,0,0,0
West Kameng,Arunachal Pradesh,65824,71405,76384,80390,84275,87167,453586.7362,6260861740,0,0,1,0,0
West Karbi Anglong,Assam,203618,224994,246386,267958,289751,307141,488973.3821,3809839792,3,3,2,0,0
West Khasi Hills,Meghalaya,144372,166413,192986,225440,258546,286978,511945.6802,4849857604,1,8,3,6,7
West Siang,Arunachal Pradesh,37607,39672,41765,42851,43198,42910,236738.5152,1722481250,0,0,0,0,0
West Tripura,Tripura,779776,843549,908160,964766,1012941,1046349,221297.1598,1140745356,68,70,29,1,1
Wokha,Nagaland,120980,125722,129049,133372,135800,135687,283579.3084,1980457981,1,1,6,2,0
Zunheboto,Nagaland,169475,165130,158806,152305,144955,134194,340420.6872,1958009065,0,4,18,12,1
